Blaze	1600	60	1000	3200	85	2000	4800	110	3000	6400	90	4000
Epoxid	3200	60	3000	6400	85	6000	9600	110	9000	12800	90	12000
PTFE	3200	60	3000	6400	85	6000	9600	110	9000	12800	90	12000
Polycaprolactam	3200	60	3000	6400	85	6000	9600	110	9000	12800	90	12000
Graphene	3200	60	6000	6400	85	12000	9600	110	18000	12800	90	24000
Carbon	6400	70	1000	12800	95	2000	19200	120	3000	25600	100	4000
Lead	6400	60	8000	12800	85	16000	19200	110	24000	25600	90	32000
Midasium	6400	70	12000	12800	95	24000	19200	120	36000	25600	100	48000
Beryllium	6400	70	14000	12800	95	28000	19200	120	42000	25600	100	56000
Gold	6400	70	12000	12800	95	24000	19200	120	36000	25600	100	48000
Electrum	6400	70	12000	12800	95	24000	19200	120	36000	25600	100	48000
Astral Silver	6400	70	10000	12800	95	20000	19200	120	30000	25600	100	40000
Mithril	6400	80	14000	12800	105	28000	19200	130	42000	25600	110	56000
Nichrome	6400	70	6000	12800	95	12000	19200	120	18000	25600	100	24000
Bismuth	6400	60	6000	12800	85	12000	19200	110	18000	25600	90	24000
Platinum	6400	70	12000	12800	95	24000	19200	120	36000	25600	100	48000
Infused Gold	6400	80	12000	12800	105	24000	19200	130	36000	25600	110	48000
Kanthal	6400	70	6000	12800	95	12000	19200	120	18000	25600	100	24000
Cupronickel	6400	60	6000	12800	85	12000	19200	110	18000	25600	90	24000
Silver	6400	70	10000	12800	95	20000	19200	120	30000	25600	100	40000
Nickel	6400	70	6000	12800	95	12000	19200	120	18000	25600	100	24000
Tin Alloy	9600	70	6500	19200	95	13000	28800	120	19500	38400	100	26000
Aluminium	12800	70	10000	25600	95	20000	38400	120	30000	51200	100	40000
Sterling Silver	12800	70	13000	25600	95	26000	38400	120	39000	51200	100	52000
Rose Gold	12800	70	14000	25600	95	28000	38400	120	42000	51200	100	56000
Black Bronze	25600	70	12000	51200	95	24000	76800	120	36000	102400	100	48000
Bismuth Bronze	25600	70	8000	51200	95	16000	76800	120	24000	102400	100	32000
Bronze	19200	70	6000	38400	95	12000	57600	120	18000	76800	100	24000
Thaumium	25600	80	12000	51200	105	24000	76800	130	36000	102400	110	48000
Iron	25600	70	6000	51200	95	12000	76800	120	18000	102400	100	24000
Magnetic Iron	25600	70	6000	51200	95	12000	76800	120	18000	102400	100	24000
Meteoric Iron	38400	70	6000	76800	95	12000	115200	120	18000	153600	100	24000
Wrought Iron	38400	70	6000	76800	95	12000	115200	120	18000	153600	100	24000
